comentario,sentimento,intencao
"Muito bom o vídeo, parabéns!",positivo,elogio
Não entendi nada do que foi explicado,negativo,crítica
Podia melhorar o áudio,neutro,dica
Me manda o link por favor?,positivo,pedido
"Achei meio confuso, esperava mais",neutro,crítica
"Top demais, continue assim",positivo,elogio
"Esse conteúdo me salvou, vlw!",positivo,elogio
"Cara, não gostei da forma que explicou",negativo,crítica
Faz um vídeo sobre outro assunto também,positivo,pedido
Melhora a iluminação por favor,neutro,dica
"Sensacional, muito bom mesmo",positivo,elogio
"Tá difícil de acompanhar, muito enrolado",negativo,crítica
Dá pra disponibilizar os slides?,positivo,pedido
"Achei interessante, mas pode aprofundar",neutro,dica
Parabéns pelo conteúdo!,positivo,elogio
Não curti o vídeo,negativo,crítica
Você podia mostrar mais exemplos,neutro,dica
Esse vídeo é o melhor que vi sobre o tema,positivo,elogio
Esperava outro tipo de conteúdo,neutro,outros
Tem como mandar o código?,positivo,pedido
A explicação foi rápida demais,negativo,crítica
"Gostei bastante, bem claro",positivo,elogio
Me ajuda com esse assunto ainda tenho dúvidas,positivo,pedido
A abordagem poderia ser diferente,neutro,dica
Amei! Muito obrigada!,positivo,elogio
Achei o vídeo fraco,negativo,crítica
Faz mais vídeos assim,positivo,pedido
Dá pra fazer com outro exemplo?,positivo,pedido
"Foi bom, mas enrolou um pouco",neutro,crítica
"Muito ruim, não explica direito",negativo,crítica
Esse canal é muito bom,positivo,elogio
"Ajuda muito, valeu!",positivo,elogio
"Vídeo básico, mas funcional",neutro,outros
Tem material de apoio?,positivo,pedido
Vídeo muito longo,negativo,crítica
Podia ir mais direto ao ponto,neutro,dica
"Ficou excelente, continue assim",positivo,elogio
Muito confuso esse conteúdo,negativo,crítica
Dá pra legendar os vídeos?,positivo,dica
"Não gostei, conteúdo mal estruturado",negativo,crítica
Esse canal merece mais reconhecimento,positivo,elogio
Explica isso em outro vídeo por favor,positivo,pedido
"Vídeo bom, mas já conhecia o conteúdo",neutro,outros
Manda esse PDF aí,positivo,pedido
Faltou mais prática,neutro,crítica
Melhora a dicção,neutro,dica
"Top demais, tô acompanhando sempre",positivo,elogio
Conteúdo repetido,negativo,crítica
"Gostei, mas podia ser mais curto",neutro,dica
"Por sua culpa eu fiquei com vontade de aprender sabosta também ksjdks",positivo,elogio
"Gostei, mas a explicação podia ser mais lenta pra ficar mais fácil de entender",neutro,dica
"Muito bom, mas seria legal usar exemplos mais simples",neutro,dica
"A explicação é boa, só precisa falar um pouco mais devagar",neutro,dica
"Gostei do conteúdo, mas as transições entre os tópicos ficaram confusas",neutro,dica
"Legal o vídeo, mas poderia usar termos mais fáceis pra iniciantes",neutro,dica
"Foi interessante, mas podia ser mais passo a passo",neutro,dica
"Curti, mas faltou uma introdução mais clara",neutro,dica
"O conteúdo é útil, mas senti falta de mais exemplos visuais",neutro,dica
"Gostei, só acho que podia resumir algumas partes repetidas",neutro,dica
"A explicação foi boa, mas talvez dividir em partes menores ajudasse",neutro,dica
"Se você se arriscaria aprendendo Assembly, deixe aqui nos comentários",neutro,pedido
Na matéria de sistemas digitais da faculdade uma das provas literalmente foi fazer uma calculadora kkk,neutro,outros
"minha namorada faz engenharia de computação, no fim do semestre ela teve que fazer aquele joguinho de batalha naval em assembly.. ela fala que gosta bastante..",positivo,elogio
"Próximo vídeo, faça uma calculadora usando transistores e conectando-os na energia elétrica.",positivo,pedido
"Gostei demais, só tenta não esconder os erros e como você fez para resolve-los, gosto de acompanhar o raciocínio que a pessoa teve para encontrar a solução. Parabéns pelo vídeo e a disposição.",positivo,dica
"Eu aprendi assembly quando me formei em Mecatrônica".,neutro,outros
"Enquanto isso eu estudando Assembly MIPS 32 Bits pensando 'A que ponto cheguei?'",negativo,crítica
"Todo programador deveria saber o básico de assembly, especialmente de c/c++, assim aprendem como a memória e processador funcionam.",positivo,dica
"Slk num compensa",negativo,crítica
"Uma semana pra fazer uma calculadora kkkkk próximo passo implementar o algoritmo de fibonacci",neutro,outros
"Muito top o vídeo! Mas para quem deseja começar na programação, não pense em assembly como linguagem, pois não é! A menos que deseje direcionar ponteiros, e lembrar que hardware não é igual em todos os computadores pessoais!",positivo,dica
"Faz um joguinho tetris",positivo,pedido
"05:51 -> Eu vi a aba do chatGPT aberta. Usando o chatGPT, qualquer um consegue!",neutro,crítica
"as vezes em vez de digitar dir, digito dor!!!",neutro,outros
cd Sofrimento,neutro,outros
"Inscrita e dado like. Excelente canal, depois tenta compilar o gcc e depois use ele para compilar o kernel do Linux. Kkkkk!",positivo,elogio
"Também pode gravar um software na fita ou no cartão perfurado. O pessoal antigamente penava. Será se também ganhavam mal como ...",neutro,outros
"kkkkkkkkkkkkkk q delicia ein meu mano",positivo,elogio
"Tô cursando Cibersegurança na Puc, e o assembly me fodeu tanto no curso que quase desisti KKKKKKK",negativo,crítica
"Para programar em Assembly, o pior é sair programando, acaba virando um projeto confuso, cheio de saltos incontroláveis.",negativo,crítica
"O bom é utilizar boas práticas, por exemplo, os padrões de projeto (GoF extendido), fazendo um núcleo de codigo e blocos específicos.",positivo,dica
"Na minha graduação da computação, especificamente na disciplina de organização de computadores tive que criar uma lista encadeada ordenada em assembly. Tenho cicatrizes até hoje desta luta kkkk",negativo,crítica
Assembly é muito bom man,positivo,elogio
O cara voltou uns 50 anos no passado só para brincar. Eu dei uma estudada em assembly 6502 e cansei!,negativo,crítica
"Mano,  primeiro video seu que eu vejo você ja trabalha na área? Se sim, como você fez pra conseguir estágio ou coisa do tipo? To cursando ADS e ta foda pra achar um.",neutro,pedido
"agora faz um renderizador 3d com um editor",positivo,pedido
"kkkkkkkkk fazer no windows é mo complicação",negativo,crítica
"q esse dia nunca aconteceu kkkk",neutro,outros
"é ate estranho ver alguem nao usando chatgpt",neutro,outros
"KKKKK vídeo dahora",positivo,elogio
"eu fiz um jogo de batalha naval em assembly tbm  tem video no meu canal",positivo,elogio
"você poderia ter usado a extensão MASM/TASM do vscode  qnd eu tava fznd assembly na faculdade eu usei essa extensão e ela era mt boa",positivo,dica
"Eu sendo um mero iniciante no mundo da programação, tentando compreender esse aerógrafos (linguagem java). Eu estou aprendendo a programar no python kkkkkkkkkkkkkkkkkkkkkkkkkkk",neutro,outros
"O cara conseguiu me estressar da casa dele",negativo,crítica
"PHP agora?",neutro,outros
"Tenho medo de java mais queria aprender",neutro,pedido
"Eu tenho o pacote do intelij, muito bom mesmo",positivo,elogio
"Eu amo Java, eu sou javeiro ❤❤❤",positivo,elogio
"ele trocou o odeio java para não odeio o java kkkkk",positivo,elogio
"Eu aprendi Java usando Linux no pendrive...",neutro,dica
"Java nem é tudo isso mano",negativo,crítica
"2:43 muito bom 😅",positivo,elogio
"faz um vídeo fazendo um jogo simples em python",positivo,pedido
"java é do santanas",neutro,outros
"Mano o java lembra muito c#",neutro,outros
"Se não tá dando erro é pq tem algo errado kkkk",neutro,dica
"Achava minha irmã mais velha java era rabugenta...",positivo,elogio
"Blz agr faz o minecraft 2",positivo,pedido
"Na realidade, Python é fortemente tipado também...",positivo,dica
"hoje todo mundo é programador, é só decorar o código",neutro,crítica
"Eu como usuário de python entendo como é difícil trocar de linguagem",positivo,dica
"agr 'não odeio java' kkkkkk",positivo,elogio
"curso técnico, tô na parte de threads...",neutro,crítica
"quando migra de python pra java vê a diferença",neutro,dica
"Que extensão é essa que você usa no vídeo?",positivo,pedido
"Bomdemaise",positivo,elogio
"Python me ajudou com lógica, mas Java me deu manias",neutro,dica
"Teve os mesmos problemas que eu ao baixar o JDK",positivo,elogio
"Estou tentando aprender a linguagem mais cabaço possível 'Lua'",neutro,outros
"Java é tranquilo no básico, mas avança e fica difícil",neutro,dica
"Gostei do canal, quero aprender, mas tenho preguiça",positivo,elogio
"Gostei da linguagem, mas continuo odiando",neutro,crítica
"Li o título e vim dar risada",positivo,elogio
O barulho do choque com o chidori  kkkkkkkkk,positivo,elogio
Ramon virando um nordestino a cada risada kkkkk,positivo,elogio
19:26,neutro,outros
Pelo amor de Deus chamem o Felca mais vezes!!! Kkkkk,positivo,pedido
"No 28:50, todo mundo se cheirando pra fazer a publi e o Chico sem entender, mostrando os músculos hahahahha eu ri muito hahahaha",positivo,elogio
"Que vídeo topppp, Felca é incrível",positivo,elogio
O som do choque sendo o som do Chidori kkkkkkkk,positivo,elogio
esse quadro deveria ser maior,positivo,dica
outro vídeo desse por favor 🫡,positivo,pedido
"Quero um quadro fixo, muito bom 😂",positivo,pedido
O melhor vídeo até agr hahahaaahaha,positivo,elogio
Muito booooooommmm hahahaha,positivo,elogio
"certeza que um dos melhores videos do canal, que ideia genial",positivo,elogio
Como que o Ramon nunca namorou cara?,neutro,outros
amo quando colocam a cabeçona no Ramon  quando ele dá risada kkkkk,positivo,elogio
Muito bom! Traga mais vezes essa do choque 😂😂😂,positivo,pedido
"Mais vídeos como esse, por favor kkkkkkkkk",positivo,pedido
"esse vídeo foi absurdo, com o felca ainda interpretando esse doido que ele é não tem outra pessoa na internet melhor que ele pra isso kkkk",positivo,elogio
"Belt estragou o entretenimento na hora do chico falar a história da traição",negativo,crítica
"A cara de satisfação do Felca dando choque nos meninos 😂😂😂😂😂😂",positivo,elogio
"petição pra tirar o advogado do chico kkkk",neutro,pedido
"esse e de longe o video que eu mais ri",positivo,elogio
"no mínimo suspeito o Marciel ter namorado 4 ou 5 vezes antes e na pergunta se já traiu terem cortado a fala dele 👀",neutro,crítica
"'você já traiu' foi sacanagem KAKAKAKAKAKAKAKAKAKAKAKKAKAKKAKAKAKA",positivo,elogio
"Amo vcs manoooooooo 😂",positivo,elogio
"impressionante o que o Maciel é certinho cara kkkkkk",positivo,elogio
"um dos melhores videos,"positivo,elogio
"Passando mal de rir 😅😅😅😅",positivo,elogio
"Se vc tá mentindo, dá uma risadinha eu claramente riria tbm",positivo,elogio
"Eles perdendo o carisma durante  o vídeo  😂😂😂😂 Felca se deliciando, façam  mais vídeos com consequências",positivo,pedido
"Eu passei mal quando o Felca deu o segundo choque no PIG kkkkkkkkkkkkkk",positivo,elogio
"nao tankei o felca cantando no inicio kkkkkkkkkkkkkkkkkkkkkkkkk",positivo,elogio
"1:54 KKKKKKKKKKKKKKKKKKKKKKKKKK vtnc impossivel q esse video seja real. O barulhinho me quebrou muito. Esse editor é fenomenal",positivo,elogio
"KKKKKKKKKKKKKKKKKKKKKKKKKKKKK",positivo,elogio
"o Felca é o grande sucesso da Internet atual... Esse vídeo foi muito bom!!!",positivo,elogio
"Ta geral vestido de Maciel mané",neutro,outros
"O felca tem que ser o operador oficial do choque desse canal",positivo,pedido
"Eu acho que eles ficaram cm medo real do Felca 😂😂😂",positivo,elogio
"Que junção maravilhosa ❤❤❤",positivo,elogio
"O Experimento de Milgran, versão Felca",positivo,elogio
"Gente eles votando que o Chico estava mentindo...",neutro,crítica
"beltrão chato pra cacete",negativo,crítica
"Foi muito bommmmm!!!",positivo,elogio
"Chico vai ser jardineiro hahahah que bota meu amigo",positivo,elogio
"Beltrão é chato pra cacete como pode?!?!",negativo,crítica
"Felca detectando mentiras... Parece hipocrisia!",negativo,crítica
"20:10 explicou as minhas inquietações 😂😂",positivo,elogio
"aqueles caras sendo o nosso pânico family friend seria maluquicekkkkkkkkk",positivo,elogio
"Um dos melhores vídeos 😂",positivo,elogio
"Por mais que eu entenda o entretenimento da traição...",neutro,dica
"Eu e Ramon temos algo em comum",neutro,outros
"até eu tomei susto no choque do Felca kkkkkkk",positivo,elogio
"Faltou a vinheta do Beltrão 😂😂",positivo,dica
"Tragam o felca mais vezessss",positivo,pedido
"O maciel: se me atacar eu vou atacar",positivo,elogio
"Que vídeo bom cara, tragam o deixa mais vezes 🤣🤣",positivo,pedido
Mn vcs tem q fazer um vídeo com o loud coringa,positivo,pedido
Segundo estudos avançadíssimos do Instituto Federal de Suor Agudo...,positivo,elogio
A sociologia também estuda como o tempo influencia a forma como vivemos em sociedade.,neutro,outros
O que a sociologia estuda? ➡️ A sociologia estuda a sociedade...,neutro,outros
"Eu amei esse vídeo hahahaha por favor, Felca, de mais choque neles 🙏🏻🙏🏻🙏🏻",positivo,pedido
Eu amo o Felca! Maravilhoso demais 😂😂,positivo,elogio
"Tutorial é muito chato às vezes, e vc acaba deixando o aprendizado muito mais leve...",positivo,elogio
13:50 dá para usar lambda para fazer isso em uma linha só,neutro,dica
"Tô na mesma amigo, sofrendo para entender collections",neutro,outros
"Se não for de muito incomodo ao Lord, poderias fazer um video ensinado Java ou C#",positivo,pedido
"0:16 não fale mal dos fãns de java, somos apenas 0 😠",neutro,outros
