comentario,sentimento,intencao
"Parabéns mano! A gente até sabe mas fazer só de cabeça sem usar nada acaba complicando sempre né, me inspirou a tentar tbm!",positivo,elogio
Qual site ou plataforma utilizada no vídeo?,neutro,pedido
"Em pequena escala ok, mas isso é lento para caramba, voce podia otimizar isso salvando em hashmap",negativo,dica
Braboooooooooooooo S P Vai Manu,positivo,elogio
"Ficou da hora! Além de tentar resolver alguns outros desafios mais requisitados, poderia também criar shorts com cortes da solução",positivo,dica
"Cara, achei o video bem legal cara, vai fazendo mais desafios, to nessa tambem e vou fazer esse mesmo desafio agr",positivo,outro
q cara bom,positivo,elogio
Fiz em JS se alguem puder me falar se ficou bom agradeço sou iniciante e gostaria de aprender cada vez mais,neutro,pedido
faz as questões do beecrowd em C ou C++,neutro,pedido
"Video top, vou tentar refazer esse exercício em outra linguagem",positivo,outro
"Muito legal o vídeo, ja fiz esse algoritmo no curso tecnico e fiz bem parecido",positivo,elogio
TERMINE A SERIE DO CS50 IMEDIATAMENTE!!!!!!!,neutro,pedido
boa mano eu tambem fiz um código mt parecido com o seu,positivo,elogio
"Ver seu canal tá ajudando a melhorar minha lógica mn, vlw",positivo,elogio
"Augusto Galego fez esse desafio ai, acho válido dar uma olhada",neutro,dica
Ótimo vídeo mano! gostei bastante C O N T I N U E,positivo,elogio
Ótimo vídeo! Faça mais! Qual a música do vídeo?,positivo,pedido
"opa meu mano, parabens pelo video, ficou bem interessante de acompanhar!",positivo,elogio
"Cara, a solução tá válida Mas nem de perto é a solução ""adequada"" esse codigo tem complexidade n2",negativo,crítica
faz um video trabalhando em um projeto freelancer,neutro,pedido
rindo oque cara programo praticamente em c ja faz 5 anos,positivo,outro
Brabo demaisss!,positivo,elogio
faculdade EAD vale a pena na área de programação??,neutro,pedido
essa sua resolução so resolveria se o primeiro valor viesse logo apos o outro certo?,negativo,crítica
"muito legal, posta mais videos assim",positivo,elogio
"mandou bem, parabéns pelo vídeo",positivo,elogio
Grava resolvendo em live,neutro,pedido
Eu odeio entrevista leetcode,negativo,crítica
Voce é brabo demais!,positivo,elogio
Primeiro,neutro,outro
vlw pela ajuda,positivo,agradecimento
impressionante como o brucer é teimoso kkkkkkkk,negativo,crítica
Titan com certeza se sentiu muito culpado pela série de hoje,negativo,crítica
A cada dia mais eu viro mais fã do big micas Que cara diferente,positivo,elogio
Conteúdo prime!,positivo,elogio
Oreia aplicou o gap no vovô takas,neutro,outro
"Robozão é um cara foda, muito humano",positivo,elogio
"Tin vai fazer falta, ele ta coberto de razão",positivo,elogio
Tinowns é o player que eu mais admiro,positivo,elogio
Caralho... que espetáculo de pessoa que é esse Robô mano,positivo,elogio
Tin você é gigante <3,positivo,elogio
"Obrigado TIM, acompanho você a muito tempo, torso muito pelo seu sucesso",positivo,agradecimento
"Pô vei, pq não colocaram ele como streamer igual drakao po",neutro,crítica
"Até dei o follow, conteudo da Loud é bom",positivo,elogio
"Culpa da Thaiga,terminaram namoro Tin foi ladeira abaixo",negativo,crítica
virei loudete mais pelos jogadores do que pelo time em si,positivo,elogio
Assistir o Loud lol sem o tin nos vlogs vai ser muito triste,negativo,outro
O tinowns precisa de um home Champions também,neutro,pedido
Petição para o TIN virar embaixador 👇🏻,neutro,pedido
Façam um documentário pro Tin,neutro,pedido
Shini vai pra pqp sai da porra do meu time,negativo,crítica
